Zone Name,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15,Channel16,Channel17,Channel18,Channel19,Channel20,Channel21,Channel22,Channel23,Channel24,Channel25,Channel26,Channel27,Channel28,Channel29,Channel30,Channel31,Channel32,Channel33,Channel34,Channel35,Channel36,Channel37,Channel38,Channel39,Channel40,Channel41,Channel42,Channel43,Channel44,Channel45,Channel46,Channel47,Channel48,Channel49,Channel50,Channel51,Channel52,Channel53,Channel54,Channel55,Channel56,Channel57,Channel58,Channel59,Channel60,Channel61,Channel62,Channel63,Channel64,Channel65,Channel66,Channel67,Channel68,Channel69,Channel70,Channel71,Channel72,Channel73,Channel74,Channel75,Channel76,Channel77,Channel78,Channel79,Channel80
Business,151505 Itin,1515125 Itin,RedDot151625,151640 VHF,151700 VHF,151760 VHF,Purple151955,1545275 VHF,158400 VHF,1584075 VHF,451800 UHF,4518125 UHF,456800 UHF,4568125 UHF,457525 UHF,457550 UHF,457575 UHF,Brown464500,Yellow464550,JDot4677625,KDot4678125,Silver467850,Gold467875,Red467900,Blue467925,469500 UHF,469550 UHF,875 N Mich Sec TS1,875 N Mich Sec TS2,401 N Mich Sec,Tribune Tower TS1,Tribune Tower TS2,Merch Mart DMR TS1,Merch Mart DMR TS2,New York Res TS1,New York Res TS2,2650 N Lakeview TS1,2650 N Lakeview TS2,3950 LSD TS1,3950 LSD TS2,Eugenie Terrace,625 N Mich TS1,625 N Mich TS2,757 Orleans TS1,757 Orleans TS2,500 LSD CC10,Park Place Twr TS1,Park Place Twr TS2,NMH Parking,LiveNation Lwr,Cubby Bear,Apple Mich Ave,NorthBridgeSec,Flemings A1,Flemings A2,Dave & Busters,Morettis EP,MaxBar Chicago,Park Place Rest,Holy Name Cath,Perillo BMW,Allegro Sonesta TS1,Allegro Sonesta TS2,Allegro Son2 TS1,Allegro Son2 TS2,AMA Plaza,Two Prudential,Aon Building TS1,Aon Building TS2,BCBS IL HQ TS1,BCBS IL HQ TS2,333 S Wabash,Old Post Office,340 on the Park TS1,340 on the Park TS2,McClurg Court,NorthWater Apt,River East Ctr,CityView Condo,Horween Leather TS1
Emergency / Calling,GMRS 20,70cm Call,2m Call,Marine 16,CFMC 440 FM,CFMC 2m FM,NS9RC 2m FM,NS9RC 440,SARA UHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Ops,F1 All,F2 Team A,F3 Team B,F4 Team C,F5 Road,F6 RPTR,F8 Evnstn 725,F9 PrkRdg 675,F10 Evnst 700,F11 Nrthbrk,F13 UHF Call,F14 NS9RC UHF,F15 CMFC UHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Ops Digital,FD1 All,FD2 Team A,FD3 Team B,FD4 Team C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRS,GMRS 01,GMRS 02,GMRS 03,GMRS 04,GMRS 05,GMRS 06,GMRS 07,GMRS 08 RX,GMRS 09 RX,GMRS 10 RX,GMRS 11 RX,GMRS 12 RX,GMRS 13 RX,GMRS 14 RX,GMRS 15,GMRS 16,GMRS 17,GMRS 18,GMRS 19,GMRS 20,GMRS 21,GMRS 22,GMRS 15 RPT,GMRS 16 RPT,GMRS 17 RPT,GMRS 18 RPT,GMRS 19 RPT,GMRS 20 RPT,GMRS 21 RPT,GMRS 22 RPT,Lincolnwood 575,Evanston 725,NSEA Evan700,PL-600,OHare 575,NSEA Her675,NSEA NBrk650,PRJ 650,Oak Lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham DMR Simplex,DMR Smpx A,DMR Smpx B,HS 4304125,HS 4304250,HS 4394125,HS 4394250,HS 4394375 TS1,HS 4394375 TS2,HS 4394500 TS1,HS 4394500 TS2,HS 4394625 TS1,HS 4394625 TS2,HS 4394750 TS1,HS 4394750 TS2,HS 4304375 TS1,HS 4304375 TS2,HS 4304500 TS1,HS 4304500 TS2,HS 4304625 TS1,HS 4304625 TS2,HS 4304750 TS1,HS 4304750 TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham UHF,70cm Call,70cm 446025,70cm 446050,70cm 446075,70cm 446100,70cm 446125,70cm 446150,70cm 446175,70cm 446200,70cm 446225,70cm 446250,70cm 446275,70cm 446300,70cm 446325,70cm 446350,70cm 446375,70cm 446400,70cm 446425,70cm 446450,70cm 446475,NS9RC UHF025,F13 UHF Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham VHF,APRS 144390,2m Call,2m 146400,2m 146415,2m 146430,2m 146445,2m 146460,2m 146475,2m 146490,2m 146505,2m 146535,2m 146550,2m 146565,2m 146580,2m 147420,2m 147450,2m 147480,2m 147510,2m 147540,2m 147570,NS9RC VHF405,NS9RC VHF460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham-Hotspot,Hotspot BM TS1,Hotspot BM TS2,Hotspot TGIF TS1,Hotspot TGIF TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham-Repeaters,CFMC 440 FM,CFMC 2m FM,CL Loop TS1,CL Loop TS2,CL Schaumburg TS1,CL Schaumburg TS2,NS9RC 2m FM,NS9RC 440,SARA VHF,SARA UHF,F14 NS9RC UHF,F15 CMFC UHF,K9BAR TriState TS1,K9BAR TriState TS2,N9PAY Carlsville TS1,N9PAY Carlsville TS2,AA9VI TriState TS1,AA9VI TriState TS2,K9VI TriState TS1,K9VI TriState TS2,N9IAA Crown Point TS1,N9IAA Crown Point TS2,K9NRO TriState TS1,K9NRO TriState TS2,N9PAY Green Bay TS1,N9PAY Green Bay TS2,K9ORD TriState TS1,K9ORD TriState TS2,N9IAA La Porte TS1,N9IAA La Porte TS2,N9PAY Milwaukee TS1,N9PAY Milwaukee TS2,KC9KKO TriState TS1,KC9KKO TriState TS2,N9PAY New Berlin TS1,N9PAY New Berlin TS2,WW9P TriState TS1,WW9P TriState TS2,K9MOT TriState TS1,K9MOT TriState TS2,N8OUZ TriState TS1,N8OUZ TriState TS2,N9IAA Valparaiso TS1,N9IAA Valparaiso TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURS,MURS 1,MURS 2,MURS 3,MURS 4,MURS 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine,Marine 06,Marine 09,Marine 13,Marine 16,Marine 22A,Marine 68,Marine 69,Marine 71,Marine 72,Marine 73,Marine 78A,Marine 01A,Marine 05A,Marine 07A,Marine 08,Marine 10,Marine 11,Marine 12,Marine 14,Marine 15,Marine 17,Marine 18A,Marine 19A,Marine 20A,Marine 21A,Marine 23A,Marine 63A,Marine 64A,Marine 65A,Marine 66A,Marine 67,Marine 70 DSC,Marine 74,Marine 77,Marine 79A,Marine 80A,Marine 87B AIS1,Marine 88B AIS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA Weather,WX1,WX2,WX3,WX4,WX5,WX6,WX7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMR446,PMR 01,PMR 02,PMR 03,PMR 04,PMR 05,PMR 06,PMR 07,PMR 08,PMR 09,PMR 10,PMR 11,PMR 12,PMR 13,PMR 14,PMR 15,PMR 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Safety,CFD EMS Cmd,CFD EMS City,CFD EMS Admin,MERCI 340,MERCI 400,MED1 North,MED2 North,MED3 North,MED4 North,MED5 North,MED6 North,MED7 North,MED8 North,MED9 North,MED10 North,MED11 North,MED12 North,MED1 Central,MED2 Central,MED3 Central,MED4 Central,MED5 Central,MED6 Central,MED7 Central,MED8 Central,MED9 Central,MED10 Central,MED11 Central,MED12 Central,MED1 South,MED2 South,MED3 South,MED4 South,MED5 South,MED6 South,MED7 South,MED8 South,MED9 South,MED10 South,MED11 South,MED12 South,CFD FG A,CFD Command A,CFD Lakefront,CFD Tac A,CFD Ops 8 A,CFD Ops 9 A,CFD Ops 10 A,CTA Fire,CFD SpecEvt1,CFD Admin A,RED South BK,RED North BK,RED Fire North,RED Fire South,Skokie Disp,NShore Admin,Evanston Disp,DesPlns Disp,CPD Citywide 1,CPD Citywide 2,CPD Citywide 3,CPD Citywide 4,CPD Citywide 5,CPD Citywide 6,CPD Citywide 7,CPD VHF Car2,Interop VHF 1,Interop VHF 2,Interop VHF 3,Interop VHF 4,Interop VMet3,Interop VMet4,Interop VMet5,Interop UHF 1,Interop UHF 2,IFERN,IREACH,ISPERN,Point-to-Point
Public Works & Parks,DSS North A,DSS North B,DSS South,DSS SnowOps TS1,DSS SnowOps TS2,ParkDist FM,ParkDist DMR,FPDCC FM,FPDCC DMR,CDOT Str N12,CDOT ForAn,CDOT TowPark,CDOT Boot,CDOT Electric,CDOT SewrTr,CDOT LoopOB3,CDOT Str S45,CDOT Paging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail,AAR 160230,AAR 160320,AAR 160470,AAR 160530,AAR 160560,AAR 160590,AAR 160620,AAR 160650,AAR 160695,AAR 160770,AAR 160800,AAR 160845,AAR 161100,AAR 161160,AAR 160335,AAR 160485,AAR 160680,AAR 160710,AAR 160815,AAR 160860,AAR 160875,AAR 161115,AAR 161190,AAR 161205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit & Transport,CTA Ops A,CTA Ops B,CTA Yard,ORD Ops,MDW Ops,Delivery DMR,Delivery FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
